Accession,X100Tumor_0Stroma_0Lymphocyte_Other_N.A,X100Tumor_0Stroma_0Lymphocyte_Other_N.A.1,X87.5Tumor_12.5Stroma_0Lymphocyte_Other_N.A,X75Tumor_25Stroma_0Lymphocyte_Other_N.A,X50Tumor_50Stroma_0Lymphocyte_Other_N.A,X25Tumor_75Stroma_0Lymphocyte_Other_N.A,X12.5Tumor_87.5Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A.1,X0Tumor_0Stroma_100Lymphocyte_Other_N.A,X0Tumor_0Stroma_100Lymphocyte_Other_N.A.1,X50Tumor_0Stroma_50Lymphocyte_Other_N.A,X75Tumor_0Stroma_25Lymphocyte_Other_N.A,X87.5Tumor_0Stroma_12.50Lymphocyte_Other_N.A,X93.75Tumor_0Stroma_6.25Lymphocyte_Other_N.A,X96.875Tumor_0Stroma_3.125Lymphocyte_Other_N.A
Q9H6Q4,-0.924010392830463,-0.68488788646291,-0.739006642879067,-0.676230549038583,-0.539218096045421,-0.109166742399352,0.540117196877461,0.536776886160095,0.409996900496162,-0.041772035866638,-0.19237875735399,-0.65869729363357,-1.05241814352949,-0.544870533022675,-0.620283107719771,-0.567921266215656
Q9H6R0,-0.270490486138362,-0.276819839104141,-0.574615804225274,-0.440393041823146,-0.54048728386626,-0.0782253507500045,-0.0525995464727215,0.179716893272791,0.044303883854434,-0.139335508748324,0.0525881402929918,-0.300536453958375,-0.396964610836014,-0.372566127180156,-0.274683227934333,-0.308977722511134
Q9H6R3,0.377928446406813,0.162351237564548,0.466598216536495,0.437508488183038,0.164984070754913,-0.0769017177522468,-0.0517576191776167,-0.0338848615927506,-0.127702788175819,-0.0944234704402746,-0.117827748046211,0.21897334392044,0.265748429070464,0.153775973877224,0.372584900398378,0.449037281175439
Q9H6R4,0.190785274552921,0.0853119821441666,0.232290687995824,0.205476868073653,0.164616461649754,-0.0209379575069993,-0.0316619087468389,-0.278870516321869,-0.288603276915393,-0.13489848877114,-0.23001175383256,0.0457496998623844,0.0396953511670537,0.248879949791578,0.162325966262878,0.29376658243834
Q9H6R6,-0.022602012594094,0.591809889908071,0.158777300198495,-0.310375576330891,0.468753066146793,0.401982901351298,0.431645710220352,0.490254192617551,0.507727789549343,0.28053395683543,-0.271125818980225,0.179745267859024,-0.12968920315346,-0.209002082518123,0.41522222789189,0.280821679092626
Q9H6S0,-0.258420360069831,-0.183984465423452,-0.115961570895801,0.0821356641763568,-0.453166993362363,-0.26031166399833,-0.0128600409969245,-0.0245981069935821,0.0432497179827627,-0.0324631274822294,0.0434666940065002,-0.276846934262943,-0.280864390388065,-0.0649937334567415,-0.077766561130832,-0.0148483185569379
Q9H6S3,0.665705688704395,0.555923460841381,0.734022161607897,0.693786803097113,0.737231868690595,0.368944928848412,0.0690025720513354,-0.281184841294881,-0.258752773303442,-1.14121929675035,-1.21099559463207,0.0790586197492594,0.537809389808787,0.639405675843402,0.707869442834204,0.7470816711419
Q9H6T0,0.314947893370594,0.300766212904485,0.471327337353754,0.614546395007119,0.492003931005124,0.523441275605507,0.588554832525601,0.314417684603492,0.452975219277281,-0.927603797299645,-1.11342962019893,-0.39199291997541,-0.333976791252367,0.166011402310562,0.567996938390761,0.0199971234103865
Q9H6T3,-0.083592604110359,0.0026522881843731,-0.0285263965544046,0.146394715303175,-0.0237384472963213,-0.116160050548921,0.124274798884833,0.01960634589431,-0.0349531950737437,0.13663675511512,-0.0886654360687125,-0.0622598480692736,-0.166028942014812,-0.123645294661117,0.0107709571078089,0.17932970765722
Q9H6V9,-0.280707286507665,-0.394057216130366,-0.286802981678964,-0.40830852547693,-0.870247795702534,-1.0668228624705,-0.562144057092962,-0.814681793838056,-0.487712765140886,0.105803091069967,0.0387764918865351,0.0714885771671396,-0.0480762339455098,0.0072457099978095,-0.308426361432977,-0.108151161403566
Q9H6W3,0.00729591252642,-0.158475237793942,0.287015650420659,0.265709413716922,0.140248431787968,-0.0483980855967131,0.218997343927303,0.0173587167354534,-0.0031707066676727,0.0968051206859474,0.167802988373646,-0.228263169162712,0.246358362104735,0.177180960945791,0.0854534735869685,0.159357512606387
Q9H6X2,-1.45705365797678,-1.2923312360866,-1.17822796957475,-0.317898499331624,0.795009695379494,2.06603102551015,2.17655758081956,1.98843104682083,2.04461878860622,-1.8282393083724,-1.57005399193762,-2.1881027715354,-2.13686777472429,-1.48648585361667,-1.2554277567051,-1.28288020114501
Q9H6Y2,-0.487743262462844,-0.211885627694255,-0.341179162956637,-0.334132190851127,-0.0833776808826627,-0.31732463351563,0.185611449433439,0.224213631338684,0.028114309839365,0.0202016898152551,-0.0140489130487291,0.216478199534374,-0.116592500192508,0.0513292467550969,0.127014875833789,-0.169400834031594
Q9H6Z4,-0.738862732660574,-0.798043106689932,-0.699869361845926,-0.465062343684942,-0.536703918337283,0.22622702789382,0.516388919519496,0.356365026398936,0.625242932633522,0.208689918860916,0.150872853081521,-0.496086378735324,-0.791815778259321,-0.540591964907202,-0.660160203823432,-0.824768212212762
Q9H706,0.463469223133115,0.297522980570562,0.454884549689773,0.458050496265704,0.268718437466745,0.371871599333137,0.406856872905442,-0.321018716193529,0.273583431815041,0.266756466136566,0.265720316309486,0.637187254049102,0.158869544141097,0.263339981747179,0.391291688533473,0.143479911815991
